No.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226
Conceptos,,,,,,Zonas Metropolitanas,,,,,Población,,,Superficie y localidades,,Número de localidades y población,,,Pobreza,,,,,,Pobreza extrema,,,,,,Pobreza moderada,,,,,,Vulnerables por carencia social,,,,,,Vulnerables por ingreso,,,,No pobres y no vulnerables,,,,Rezago educativo,,,,,,Carencia por acceso a los servicios de salud,,,,,,Carencia por acceso a la seguridad social,,,,,,Carencia por calidad y espacios de la vivienda,,,,,,Carencia por acceso a los servicios básicos en la vivienda,,,,,,Carencia por acceso a la alimentación,,,,,,Población con al menos una carencia social,,,,,,Población con tres o más carencias sociales,,,,,, Población con ingreso inferior a la línea de bienestar,,,,,,Población con ingreso inferior a la línea de bienestar mínimo,,,,,,Desarrollo Humano,,,,,,,,,Establecimientos por tipo,,,,,,,Cuartos por tipo,,,,,,,Establecimientos por categoría,,,,,,,Cuartos por categoría,,,,,,,,Población indígena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Planes de Desarrollo Turístico,,,,,Museos,,,Disponibilidad de servicios públicos,,
Variables,Orden,Macroregión Funcional,Lugar central,Clave de entidad,Entidad federativa,No. de zona,Lugar Central,Clave de municipio,Municipio (Pueblo mágico),Proyectos Presidenciales y Especiales,Población 2010,Población 2015,Variación de la Población 2015/2010,Superficie del Municipio (km2) y/o estatal,DMU (hab/ha),Número de Localidades,Población de la localidad del Pueblo Mágico,Participación sobre la población local,Porcentaje 2010,Porcentaje 2015,Personas 2010,Personas 2015,Carencias promedio 2010,Carencias promedio 2015,Porcentaje 2010,Porcentaje 2015,Personas 2010,Personas 2015,Carencias promedio 2010,Carencias promedio 2015,Porcentaje 2010,Porcentaje 2015,Personas 2010,Personas 2015,Carencias promedio 2010,Carencias promedio 2015,Porcentaje 2010,Porcentaje 2015,Personas 2010,Personas 2015,Carencias promedio 2010,Carencias promedio 2015,Porcentaje 2010,Porcentaje 2015,Personas 2010,Personas 2015,Porcentaje 2010,Porcentaje 2015,Personas 2010,Personas 2015,Porcentaje 2010,Porcentaje 2015,Personas 2010,Personas 2015,Carencias promedio 2010,Carencias promedio 2015,Porcentaje 2010,Porcentaje 2015,Personas 2010,Personas 2015,Carencias promedio 2010,Carencias promedio 2015,Porcentaje 2010,Porcentaje 2015,Personas 2010,Personas 2015,Carencias promedio 2010,Carencias promedio 2015,Porcentaje 2010,Porcentaje 2015,Personas 2010,Personas 2015,Carencias promedio 2010,Carencias promedio 2015,Porcentaje 2010,Porcentaje 2015,Personas 2010,Personas 2015,Carencias promedio 2010,Carencias promedio 2015,Porcentaje 2010,Porcentaje 2015,Personas 2010,Personas 2015,Carencias promedio 2010,Carencias promedio 2015,Porcentaje 2010,Porcentaje 2015,Personas 2010,Personas 2015,Carencias promedio 2010,Carencias promedio 2015,Porcentaje 2010,Porcentaje 2015,Personas 2010,Personas 2015,Carencias promedio 2010,Carencias promedio 2015,Porcentaje 2010,Porcentaje 2015,Personas 2010,Personas 2015,Carencias promedio 2010,Carencias promedio 2015,Porcentaje 2010,Porcentaje 2015,Personas 2010,Personas 2015,Carencias promedio 2010,Carencias promedio 2015,Años promedio de escolaridad,Años esperados de escolarización,Ingreso per cápita anual (dólares PPC) 2010,Ingreso per cápita anual (dólares PPC) 2015,Tasa de Mortalidad Infantil,Índice de educación,Índice de ingreso ,Índice de salud,Valor del Índice de Desarrollo Humano (IDH),Hoteles_E,Moteles_E,"Cabañas, villas y similares_E",Campamentos y albergues recreativos_E,Pensiones y casas de huéspedes_E,Departamentos y casas amuebladas con servicio de hotelería_E,Total Establecimientos por tipo,Hoteles_C,Moteles_C,"Cabañas, villas y similares_C",Campamentos y albergues recreativos_C,Pensiones y casas de huéspedes_C,Departamentos y casas amuebladas con servicio de hotelería_C,Total Cuartos por tipo,5 Estrellas_E,4 Estrellas_E,3 Estrellas_E,2 Estrellas_E,1 Estrella_E,Sin categoría_E,Total Establecimientos por categoría,5 Estrellas_E,4 Estrellas_E,3 Estrellas_E,2 Estrellas_E,1 Estrella_E,Sin categoría_E,Total Cuartos por categoría,Restaurantes,NAHUA,MAYA,MIXTECO,ZAPOTECO,TSELTAL,OTOMÍ,TSOTSIL,TOTONACO,MAZAHUA,MAZATECO,CH’OL,HUASTECO,TARASCO,CHINANTECO,MIXE,TLAPANECO,TARAHUMARA,MAYO,ZOQUE,AMUZGO,CHATINO,TOJOLABAL,HUICHOL,CHONTAL DE TABASCO,TEPEHUANO DEL SUR,POPOLUCA DE LA SIERRA,CORA,TRIQUI,YAQUI,POPOLOCA,MAM,HUAVE,CUICATECO,PAME,TEPEHUA ,TEPEHUANO DEL NORTE,Q´ANJOB´AL,CHONTAL DE OAXACA,SAYULTECO,CHICHIMECO JONAZ,CHUJ,MATLATZINCA,AKATEKO,GUARIJÍO,TLAHUICA,Q´EQCHI´,K’ICHE’,PIMA,TEXISTEPEQUEÑO,JAKALTEKO,CHOCHOLTECO,SERI,KUMIAI,LACANDÓN,CUCAPÁ,IXCATECO,PAIPAI,PÁPAGO,IXIL,KILIWA,TEKO,OLUTECO,KICKAPOO,KAQCHIKEL,AYAPANECO,AWAKATEKO,GENERAL,SI,NO,Periodo,Año de declaratoria,Zonas Arqueológicas,Local,Municipal,Áreas Naturales Protegidas,Agua potable de la red pública 2016,Drenaje y alcantarillado de la red pública 2016,Tratamiento de aguas residuales 2016
Ordenamiento,1,Centro Norte y Occidente,Guadalajara,01,Aguascalientes,,,01002,Asientos,,"48,358","50,864",5.2%,548,91.46,168,"4,517",8.88%,65.54,54.00,"31,694","27,467",1.96,1.80,8.55,4.40,"4,134","2,238",3.46,3.34,56.99,49.50,"27,560","25,178",1.73,1.66,22.35,29.05,"10,809","14,776",1.68,1.60,5.28,7.67,"2,553","3,902",6.83,9.30,"3,302","4,729",22.65,19.83,"10,953","10,085",2.47,2.32,13.76,5.98,"6,655","3,041",2.45,2.62,75.45,69.01,"36,487","35,101",1.97,1.80,11.10,7.79,"5,365","3,964",3.05,2.81,11.35,16.20,"5,488","8,239",3.05,2.61,31.53,24.65,"15,249","12,539",2.56,2.40,87.89,83.03,"42,503","42,233",1.89,1.73,18.44,14.14,"8,918","7,194",3.36,3.27,70.82,61.65,"34,247","31,359",1.81,1.57,33.76,24.44,"16,326","12,430",2.00,1.72,6.23,11.90,"6,877.03","7,458.46",2.04,0.565,0.708,0.833,0.693,2,,,,,,2,52,,,,,,52,,,,1,1,,2,,,,29,23,,52,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,8,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,30,X,,2019-2021,2006,,2,,,1,1,1
,2,Centro Norte y Occidente,Guadalajara,01,Aguascalientes,,,01003,Calvillo,,"57,627","60,760",5.4%,931,56.31,156,"19,742",32.49%,68.40,56.80,"39,419","34,512",1.87,1.65,7.60,3.10,"4,377","1,884",3.39,3.28,60.81,53.60,"35,041","32,567",1.68,1.56,22.78,27.59,"13,126","16,765",1.69,1.57,3.49,6.30,"2,010","3,828",5.33,9.31,"3,072","5,656",28.25,23.20,"16,282","14,096",2.34,2.16,18.28,9.88,"10,535","6,000",2.41,2.39,82.52,73.63,"47,557","44,738",1.88,1.67,9.82,5.20,"5,658","3,160",2.96,2.72,8.34,7.74,"4,807","4,700",2.97,2.66,19.32,17.34,"11,134","10,533",2.65,2.35,91.18,82.10,"52,545","49,884",1.83,1.62,16.67,10.47,"9,605","6,364",3.28,3.20,71.89,63.10,"41,428","38,339",1.78,1.49,33.87,26.75,"19,519","16,254",1.93,1.58,5.96,11.40,"8,764.94","9,505.99",9.09,0.539,0.716,0.852,0.690,5,,11,,,,16,99,,62,,,,161,1,2,1,1,,11,16,7,69,16,7,,62,161,57,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,17,,16,,,,111,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,217,X,,2018 - 2021,2012,,,,1,1,1,1
,3,Centro Norte y Occidente,Guadalajara,01,Aguascalientes,,,01008,San José de Gracia,,"7,160","9,661",34.9%,866,12.03,32,"4,927",51.00%,65.77,59.60,"4,709","5,758",2.04,1.69,12.72,5.30,911,512,3.39,3.21,53.05,54.30,"3,798","5,246",1.72,1.54,17.24,22.19,"1,234","2,143",1.58,1.39,4.94,4.43,354,428,12.06,13.76,863,"1,329",19.14,15.31,"1,370","1,479",2.53,2.18,9.45,5.24,676,506,2.57,2.39,76.68,74.71,"5,490","7,218",2.00,1.64,10.12,6.77,724,654,3.29,2.81,13.94,8.67,998,838,3.10,2.63,32.13,20.89,"2,300","2,019",2.72,2.35,83.00,81.81,"5,943","7,904",1.95,1.61,20.52,10.06,"1,470",972,3.35,3.18,70.71,64.06,"5,063","6,188",1.90,1.57,37.57,28.22,"2,690","2,727",2.15,1.77,8.33,12.30,"16,373.63","17,757.97",0.00,0.608,0.731,0.882,0.732,1,,21,3,,,25,19,,108,12,,,139,,,,1,,24,25,,,,19,,120,139,16,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,33,X,,2019 - 2021,2015,,,1,2,1,1,1
,4,Mar de Cortés,Hermosillo,02,Baja California,2,3,02003,Tecate,,"89,999","110,870",23.2%,"2,687",47.40,445,"70,270",58.4%,29.59,26.64,"26,633","29,534",1.96,1.85,2.59,1.74,"2,335","1,932",3.41,3.33,27.00,24.90,"24,298","27,602",1.82,1.74,37.59,37.46,"33,833","41,536",1.75,1.67,7.03,7.14,"6,327","7,913",25.78,28.76,"23,206","31,887",16.30,13.95,"14,670","15,471",2.28,2.19,24.98,11.45,"22,485","12,700",2.43,2.53,49.75,44.36,"44,770","49,185",2.04,1.91,9.39,11.67,"8,452","12,935",2.52,2.46,12.01,17.12,"10,812","18,985",2.58,2.42,11.53,13.26,"10,380","14,702",2.53,2.36,67.19,64.10,"60,466","71,070",1.85,1.74,13.14,11.74,"11,829","13,018",3.33,3.30,36.62,33.78,"32,960","37,447",1.59,1.46,9.32,8.58,"8,389","9,507",1.89,1.69,8.60,12.83,"22,168.79","24,043.09",12.96,0.699,0.774,0.864,0.776,16,2,3,1,,,22,490,68,53,33,,,644,3,4,3,8,4,,22,123,157,123,165,76,0,644,378,130,30,349,182,3,70,122,18,108,5,10,23,383,,15,,57,133,,,,54,1,,,,21,,152,,5,,,,,,,,,,,,,,,,,,,,,,387,7,,,70,,,,,,,,,,"2,335",,X,SIN DOCUMENTO,2012,1,2,3,,1,1,1
,5,Mar de Cortés,Hermosillo,03,Baja California Sur,61,,03003,La Paz (Todos Santos),,"265,717","293,687",10.5%,"15,838",60.40,"1,044","5,148",1.8%,25.52,24.28,"67,813","71,306",2.06,1.87,2.82,1.73,"7,486","5,093",3.58,3.32,22.70,22.55,"60,327","66,213",1.87,1.76,27.86,30.04,"74,024","88,214",1.76,1.57,5.48,7.22,"14,573","21,204",41.14,38.46,"109,308","112,963",12.85,10.27,"34,149","30,165",2.36,2.23,19.80,12.22,"52,618","35,879",2.48,2.46,39.71,38.21,"105,512","112,221",2.11,1.92,6.62,6.03,"17,578","17,703",3.01,2.60,5.74,5.63,"15,260","16,523",3.05,2.85,16.79,20.41,"44,611","59,936",2.50,1.98,53.38,54.32,"141,836","159,520",1.90,1.71,10.71,9.04,"28,447","26,559",3.50,3.27,31.00,31.50,"82,385","92,510",1.70,1.45,8.96,8.53,"23,820","25,066",2.08,1.72,10.10,13.64,"21,874.16","23,723.54",10.04,0.782,0.772,0.901,0.816,88,4,4,6,6,2,110,"3,003",178,42,183,84,20,"3,510",21,18,16,6,3,46,110,556,"1,133",633,182,72,934,"3,510",309,946,209,774,784,23,24,,24,86,32,3,54,90,,49,,32,23,17,184,,,1,,,,1,,147,,50,7,,,,,,,,,6,,,,,,,,,,42,,,,,,,,,,,,,,,,"3,608",X, ,2018 - 2021,2006,,2,2,2,1,1,1
,6,Mar de Cortés,Hermosillo,03,Baja California Sur,,,03009,Loreto,,"18,538","22,045",18.9%,"4,878",,147,"14,724",66.8%,41.18,41.31,"7,635","9,107",2.35,1.81,7.09,3.37,"1,314",742,3.79,3.33,34.10,37.95,"6,321","8,365",2.05,1.67,30.31,24.15,"5,618","5,324",1.94,1.49,4.48,9.68,831,"2,133",24.03,24.86,"4,454","5,481",22.35,11.13,"4,142","2,453",2.90,2.27,16.42,9.15,"3,044","2,016",2.95,2.23,52.47,48.66,"9,727","10,728",2.43,1.83,16.51,9.42,"3,061","2,077",3.31,2.65,15.84,9.25,"2,936","2,040",3.57,2.67,32.04,23.15,"5,940","5,103",2.84,2.14,71.49,65.46,"13,253","14,431",2.18,1.69,23.24,10.03,"4,308","2,212",3.68,3.29,45.67,50.99,"8,466","11,240",2.12,1.46,15.68,20.24,"2,906","4,463",2.49,1.71,8.35,12.23,"13,789.40","14,955.25",15.48,0.673,0.706,0.833,0.734,27,3,3,3,2,1,39,890,68,27,61,14,8,"1,068",7,2,7,3,11,9,39,429,167,147,60,139,126,"1,068",40,37,4,16,64,,6,,9,,64,,,,8,,2,17,6,,,,6,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,244,X, ,2018 - 2021,2012,,1,1,1,1,1,1
,7,Península de Yucatán,Mérida,04,Campeche,,,04007,Palizada,,"9,605","9,092",-5.3%,"2,072",,152,"3,089",34.0%,61.47,60.37,"5,904","5,489",2.74,2.54,18.19,15.12,"1,748","1,374",3.77,3.52,43.27,45.25,"4,156","4,114",2.30,2.22,27.57,29.16,"2,648","2,651",2.03,1.92,2.19,2.90,210,263,8.77,7.58,843,689,29.62,22.18,"2,845","2,017",3.31,3.16,10.86,4.41,"1,043",401,3.54,3.74,79.41,79.28,"7,627","7,208",2.63,2.41,29.38,21.38,"2,822","1,944",3.63,3.35,37.76,54.15,"3,627","4,923",3.41,2.88,37.00,28.19,"3,554","2,563",3.24,3.16,89.04,89.53,"8,552","8,140",2.52,2.34,40.78,37.12,"3,917","3,375",3.66,3.43,63.66,63.26,"6,114","5,752",2.64,2.43,28.43,26.29,"2,730","2,390",3.00,2.73,6.69,11.19,"8,437.39","9,150.74",11.45,0.576,0.635,0.883,0.686,9,,2,,,,11,109,,15,,,,124,,,3,3,4,1,11,,,24,38,54,8,124,18,8,62,,,16,,,,,2,62,,,,,,,,8,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162,,X,SIN DOCUMENTO,2011,,,,1,1,0,0
,8,Noreste,Monterrey,05,Coahuila,5,3,05004,Arteaga,,"22,544","23,271",3.22%,"1,819",,40,"23,271",100.0%,50.30,50.02,"11,339","11,640",2.23,1.94,5.00,5.30,"1,127","1,233",3.59,3.46,40.00,45.00,"9,017","10,471",1.92,1.68,27.00,27.04,"6,086","6,292",1.97,1.67,13.00,13.04,"2,930","3,034",8.00,8.90,"1,803","2,071",21.00,21.02,"4,734","4,891",2.79,2.31,27.03,15.04,"6,093","3,499",3.00,2.96,60.06,60.00,"13,539","13,962",2.50,2.19,5.70,5.00,"1,285","1,163",3.52,2.58,8.20,8.00,"1,848","1,861",2.81,2.47,29.03,29.00,"6,544","6,748",2.57,2.25,77.70,77.00,"17,516","17,918",2.16,1.85,18.07,18.00,"4,073","4,188",3.49,3.43,63.70,63.00,"14,360","14,660",1.97,1.48,24.70,24.00,"5,568","5,585",2.15,1.70,7.30,9.50,"24,000.00","24,565.00",10.90,0.538,0.626,0.890,0.669,4,0,18,0,0,0,22,36,0,132,0,0,0,168,1,2,19,0,0,0,22,55,19,94,0,0,0,168,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,X,,2019 - 2021,2012,0,0,2,2,1,1,0
