Orden,Entidad federativa,Municipio (Pueblo mágico),Población 2010,Población 2015,Superficie del Municipio,Ingreso per cápita anual (dólares PPC) 2010,Ingreso per cápita anual (dólares PPC) 2015,Total Establecimientos por tipo,Museos,Zonas Arqueológicas,Plan de desarrollo,Año de declaratoria,Porcentaje de pobreza 2010,Porcentaje de pobreza 2015,Porcentaje de carencia por acceso a los servicios de salud 2015,Porcentaje de carencia por acceso a la seguridad social 2015,Porcentaje de carencia por calidad y espacios de la vivienda 2015,Porcentaje de carencia por acceso a los servicios básicos en la vivienda 2015,Porcentaje de carencia por acceso a la alimentación 2015,Porcentaje con al menos una carencia social 2015,Porcentaje con tres o más carencias sociales 2015
1,Aguascalientes,Asientos,48358,50864,547.74,6877.03,7458.46,2,2,0,1,2006,65.54,54.00,5.98,69.01,7.79,16.20,24.65,83.03,14.14
2,Aguascalientes,Calvillo,57627,60760,931.26,8764.94,9505.99,16,0,0,1,2012,68.40,56.80,9.88,73.63,5.20,7.74,17.34,82.10,10.47
3,Aguascalientes,San José de Gracia,7160,9661,866.08,16373.63,17757.97,25,1,0,1,2015,65.77,59.60,5.24,74.71,6.77,8.67,20.89,81.81,10.06
4,Baja California,Tecate,89999,110870,2687.2,22168.79,24043.09,22,5,1,0,2012,29.59,26.64,11.45,44.36,11.67,17.12,13.26,64.10,11.74
5,Baja California Sur,La Paz (Todos Santos),265717,293687,15838.1,21874.16,23723.54,110,4,0,1,2006,25.52,24.28,12.22,38.21,6.03,5.63,20.41,54.32,9.04
6,Baja California Sur,Loreto,18538,22045,4878,13789.4,14955.25,39,2,0,1,2012,41.18,41.31,9.15,48.66,9.42,9.25,23.15,65.46,10.03
7,Campeche,Palizada,9605,9092,2071.7,8437.39,9150.74,11,0,0,0,2011,61.47,60.37,4.41,79.28,21.38,54.15,28.19,89.53,37.12
8,Coahuila,Arteaga,22544,23271,1819,24000,24565,22,2,0,1,2012,50.30,50.02,15.04,60.00,5.00,8.00,29.00,77.00,18.00
9,Coahuila,Candela,1736,1728,2119,8572.7,9297.49,2,2,0,1,2015,61.11,14.13,16.36,68.41,8.05,8.38,13.28,81.69,12.74
10,Coahuila,Cuatro Ciénegas,11698,14168,10672,11296.59,12251.68,25,5,0,1,2012,45.90,39.20,3.93,54.79,9.98,15.63,10.97,67.44,11.81
11,Coahuila,Guerrero,1946,1706,2927,10066.92,10918.04,46,0,0,1,2015,51.20,45.00,20.34,56.96,11.48,16.14,12.14,79.33,16.34
12,Coahuila,Múzquiz,66834,69102,8288,12839.55,13925.1,13,9,0,1,2018,35.20,27.60,6.60,28.60,7.60,9.40,8.70,49.30,6.20
13,Coahuila,Parras,43087,43759,10621,12384.48,13431.54,43,3,0,1,2004,39.06,36.08,8.25,39.68,5.66,9.91,19.81,57.18,9.18
14,Coahuila,Viesca,21319,21549,4402,7933.72,8604.49,4,4,0,1,2012,63.23,50.02,15.04,41.53,8.93,20.22,26.94,73.11,15.68
15,Colima,Comala,21138,23998,314.3,9608.35,10420.71,23,4,0,1,2002,49.59,44.22,12.59,72.38,11.89,30.65,20.78,83.75,23.94
16,Chiapas,Comitán de Domínguez,149562,173188,978,9545.2,10352.21,90,5,1,1,2012,66.69,66.54,15.12,83.67,13.57,37.47,26.13,88.89,34.70
17,Chiapas,Chiapa de Corzo,82617,125567,830.6,8706.24,9442.32,16,6,1,1,2012,69.06,59.32,18.75,74.19,25.15,41.81,29.81,84.41,39.62
18,Chiapas,Palenque,121227,126000,2888,5986.04,6492.14,92,3,1,1,2015,85.76,76.95,17.23,87.92,33.62,65.11,35.51,93.56,56.17
19,Chiapas,San Cristóbal de las Casas,191228,206839,394,10834.43,11750.45,207,29,0,1,2003,67.72,60.00,27.35,75.70,13.85,19.63,24.94,81.52,27.57
20,Chihuahua,Batopilas,14998,6111,2137,3325,3606.12,11,0,0,1,2012,92.06,93.00,9.12,81.29,36.50,74.54,34.34,97.73,45.80
21,Chihuahua,Bocoyna (Creel),30463,23479,2706,8956.83,9714.1,56,2,0,0,2007,68.31,58.93,13.00,74.34,17.66,33.01,16.59,85.09,25.90
22,Chihuahua,Casas Grandes,10993,12605,3755,10708.53,11613.9,4,2,2,1,2015,44.43,38.62,12.31,52.89,4.69,9.66,9.49,71.28,8.66
23,Durango,Mapimí,28634,32198,7745,12665.21,13736.01,11,4,0,1,2012,61.64,40.50,15.11,54.51,6.24,18.55,18.55,76.71,16.73
24,Durango,Nombre de Dios,20870,17809,1186,7949.04,8621.1,4,2,0,0,2018,64.63,50.00,14.96,66.10,3.31,13.26,13.96,81.39,9.31
25,Guanajuato,Comonfort,75326,74866,488.7,8162.67,8852.8,10,2,0,1,2018,63.63,57.48,11.43,72.91,17.46,30.78,23.48,84.20,26.56
26,Guanajuato,Dolores Hidalgo Cuna de la Independencia Nacional,144333,146574,1656,7539.62,8177.07,37,8,0,1,2002,60.39,56.15,14.58,77.82,13.98,25.42,30.67,89.15,27.86
27,Guanajuato,Purísima del Rincón (Jalpa de Cánovas),71621,85203,290.7,9278.42,10062.88,13,2,0,1,2012,48.32,39.92,15.05,67.01,11.87,8.66,26.72,83.39,21.86
28,Guanajuato,Salvatierra,106631,89381,593,8846.65,9594.61,13,6,0,1,2012,64.76,60.13,12.71,68.14,8.77,17.07,27.58,83.25,16.64
29,Guanajuato,San Luis de la Paz (Mineral de pozos),119983,117722,2031,8504.59,9223.62,26,4,0,1,2012,57.18,52.92,14.75,73.45,15.27,22.79,27.62,86.10,25.93
30,Guanajuato,Yuriria,79480,59330,666,9081.83,9849.67,12,2,0,1,2012,57.23,63.47,15.73,79.17,8.64,20.13,22.84,90.78,21.39
31,Guerrero,Taxco de Alarcón,104733,108365,652.73,1727.1,2024.8,170,4,0,1,2002,65.00,68.50,10.50,77.50,17.00,49.00,41.81,92.61,35.86
32,Hidalgo,Huasca de Ocampo,17182,17728,303,8429.15,9141.8,63,1,0,1,2001,57.56,52.79,14.16,85.81,6.97,34.84,19.41,94.02,25.04
33,Hidalgo,Huichapan,46362,53554,661,8371.65,9079.45,18,4,0,1,2012,53.88,38.15,16.57,72.65,7.30,24.25,17.56,85.28,17.18
34,Hidalgo,Mineral del Chico,7830,9125,194,7569.3,8209.26,57,1,0,1,2011,54.83,52.36,9.16,83.55,11.36,29.06,21.37,93.51,22.31
35,Hidalgo,Mineral del Monte,13371,14960,53.4,11480.95,12451.62,27,10,0,1,2004,53.10,43.15,14.72,66.48,5.83,13.57,9.90,75.86,9.26
36,Hidalgo,Tecozautla,35067,37674,576.6,6222.88,6749,28,0,1,1,2019,64.50,64.00,11.53,87.87,11.21,42.07,23.44,96.36,29.90
37,Hidalgo,Zimapán,42913,41401,872.24,8272.9,8972.35,11,2,0,1,2018,60.43,53.17,23.26,72.45,7.18,33.16,15.20,87.62,21.06
38,Jalisco,Lagos de Moreno,153817,164981,2515.85,12759.51,13838.28,29,5,0,0,2012,43.89,36.79,13.37,50.83,8.16,17.74,13.66,68.75,15.32
39,Jalisco,Mascota,14245,14477,1844.27,10109.04,10963.73,33,4,1,1,2015,45.11,43.99,10.94,73.18,4.55,16.97,9.44,83.52,11.35
40,Jalisco,Mazamitla,13225,13799,289,10211.38,11074.72,62,2,0,1,2005,51.42,54.65,17.18,80.78,13.01,33.22,16.77,89.24,28.17
41,Jalisco,San Sebastián del Oeste,5755,5643,1117.16,10627.47,11525.99,20,4,0,1,2011,65.24,57.20,5.80,79.95,7.11,28.91,24.60,95.21,19.46
42,Jalisco,Talpa de Allende,14410,15126,1996.04,7669.52,8317.95,90,4,0,1,2015,60.50,61.69,11.48,78.71,7.71,25.13,11.28,86.83,18.92
43,Jalisco,Tapalpa,18096,19506,619,7868.14,8533.36,78,2,0,1,2002,59.77,61.08,10.78,82.68,13.45,34.35,10.44,91.41,25.67
44,Jalisco,Tequila,40697,42009,1696,10342.7,11217.14,27,4,0,1,2003,46.37,42.60,17.31,56.98,10.93,16.96,16.65,69.94,18.47
45,Jalisco,Tlaquepaque,608114,664193,110,15319.88,16615.12,24,6,0,1,2018,35.00,34.72,19.35,39.32,7.88,6.20,17.79,57.32,12.66
46,México,Aculco,54235,46275,454,7817.47,8478.41,12,0,0,0,2015,54.61,61.87,8.83,85.79,11.47,35.64,28.92,93.22,28.97
47,México,Ixtapan de la Sal,45752,36091,111,9018.72,9781.23,31,0,0,1,2015,61.88,61.47,6.05,79.43,11.98,23.34,19.82,86.79,21.17
48,México,Malinalco,33834,27218,205,7270.72,7885.44,35,2,1,1,2010,66.27,76.32,12.28,85.29,12.85,36.93,21.75,92.21,30.92
49,México,Metepec,222067,219270,67.5,24030.77,26062.49,11,1,0,1,2012,25.00,31.61,16.09,43.57,6.24,3.47,13.59,53.16,8.63
50,México,El Oro,33958,34581,138,7045.1,7640.74,18,1,0,1,2011,72.82,61.84,7.40,83.72,12.67,34.54,24.41,90.32,25.94
51,México,San Martín de las Pirámides,25139,26033,69.9,9947.13,10788.13,9,1,0,1,2015,38.93,49.50,15.00,79.21,6.81,5.28,13.72,84.44,8.16
52,México,Teotihuacán,54549,64682,83.2,10888.64,11809.24,25,2,1,1,2015,45.56,53.68,15.11,68.26,7.24,4.23,15.14,74.87,9.61
53,México,Tepotzotlán,83066,97736,207.1,13790.67,14956.62,49,1,0,1,2002,38.65,38.43,22.26,48.32,6.12,8.94,13.77,61.21,11.34
54,México,Valle de Bravo,78669,66258,430,8994.71,9755.18,104,2,0,1,2005,59.43,61.24,9.94,81.83,13.63,19.19,16.78,88.11,19.63
55,México,Villa del Carbón,52703,46647,303.4,7015.73,7608.88,36,0,0,1,2015,68.42,71.74,8.64,88.06,18.21,40.03,30.50,94.86,34.40
56,Michoacán,Angangueo,13013,10172,77,8411.04,9122.17,10,2,0,1,2012,64.05,68.63,15.01,78.37,21.25,39.92,34.11,91.39,34.94
57,Michoacán,Cuitzeo,24732,26180,254,7735.96,8390.01,1,4,1,1,2006,71.07,75.48,20.94,82.43,13.02,39.39,30.68,93.23,37.84
58,Michoacán,Jiquilpan,38482,33079,243,11800.31,12797.99,7,4,0,1,2012,46.32,53.35,23.15,70.78,7.21,12.44,29.08,83.57,22.62
59,Michoacán,Pátzcuaro,91308,86166,439,10417.68,11298.46,68,6,0,1,2002,61.22,64.50,20.39,70.50,21.18,31.45,36.42,83.65,35.15
60,Michoacán,Salvador Escalante (Santa Clara del Cobre),44388,48199,488,5918.74,6419.15,18,2,0,1,2010,68.66,78.68,24.63,80.43,30.16,63.97,41.06,95.40,56.38
61,Michoacán,Tacámbaro,81447,81499,787,8419.74,9131.6,15,2,0,1,2012,56.87,60.22,17.49,72.64,23.57,26.98,32.64,87.38,33.35
62,Michoacán,Tlalpujahua,34700,29458,191,7531.03,8167.75,38,3,0,1,2005,54.19,68.93,23.25,86.04,15.14,52.08,32.76,95.27,41.62
63,Michoacán,Tzintzuntzan,14204,14875,168,7815.7,8476.49,11,4,2,0,2012,67.66,66.90,20.91,78.15,17.51,50.06,38.50,91.70,44.28
64,Morelos,Tepoztlán,41629,46946,252.87,11810.42,12808.95,103,8,1,1,2002,44.41,39.47,19.81,72.89,15.33,45.51,23.73,86.60,29.88
65,Morelos,Tlayacapan,16543,17714,57.2,9472.44,10273.3,25,4,0,0,2011,40.25,52.66,13.39,81.83,18.30,33.17,25.17,89.82,28.15
66,Nayarit,Compostela,77256,81023,1881,10230.9,11095.89,226,4,0,1,2018,44.10,41.72,16.31,68.09,5.26,14.91,17.29,80.79,14.14
67,Nayarit,Jala,21129,19790,504,8791.24,9534.51,4,2,0,1,2012,70.95,70.60,13.98,79.58,9.23,45.69,29.10,89.50,31.20
68,Nayarit,Bahía de Banderas (Sayulita),133159,153793,771.4,14472.07,15695.64,203,0,0,1,2015,19.34,25.58,18.46,51.76,6.73,5.32,16.12,66.89,10.52
69,Nuevo León,Bustamante,3756,3977,467,11785.19,12781.59,40,4,0,0,2018,43.88,37.01,5.05,65.09,7.17,3.22,9.82,74.80,5.50
70,Nuevo León,Linares,78745,78593,2509,13602.01,14752.02,9,2,0,1,2015,30.15,32.78,6.07,36.69,7.66,17.22,13.48,57.38,10.14
71,Nuevo León,Santiago,38720,40649,739.2,20081.45,21779.27,34,2,0,1,2006,13.65,19.03,8.76,35.47,6.37,4.42,7.40,49.54,5.95
72,Oaxaca,Huautla de Jiménez,15171,14551,148,5404.09,5860.99,8,0,0,1,2015,76.51,74.32,35.46,72.72,28.32,63.69,35.83,89.61,53.14
73,Oaxaca,Capulálpam de Méndez,1467,1549,37,9438.25,10236.23,10,2,0,1,2008,47.94,40.03,7.82,64.33,10.65,13.10,7.89,73.42,8.79
74,Oaxaca,San Pablo Villa de Mitla,11825,12511,280,7281.04,7896.62,8,2,1,1,2015,69.90,75.02,21.60,91.07,8.69,61.49,28.70,97.21,45.27
